value,status
"grants you a royalty-free, non-exclusive, non-transferable license to use the Software, solely for non-commercial purposes. BitTorrent",No
"BitTorrent, Inc. disclaims any responsibility for harm resulting from the Software or any software or content downloaded using the Software, whether or not BitTorrent, Inc. approved such software or content. BitTorrent, Inc. approval does not guarantee that software or content from an approved partner will function, sound, or appear as offered or hoped, or be complete, accurate, or free from bugs, errors, viruses, or other harmful content. BitTorrent, Inc expressly disclaims all warranties and conditions, express or implied, including any implied warranties and conditions of merchantability, fitness for a particular purpose, and noninfringement, and any warranties and conditions arising out of course of dealing or usage of trade regarding the Software or  BiyTorrent",No
"Mobile Spy Apps or Spyware Apps are smartphone surveillance software. These types of apps help you to track incoming and outgoing phone calls, SMS, and locations mobilespy mobilesmpy mobilespy mobile spy",No
"We collect offline or on any other Company apps or websites, including websites you may access through this App except the Website at www.kik.com. kik kik ",No
Kik and our affiliated companies including Kin Ecosystem (“Company” or “We” or “Kik”) respect your privacy and are committed to protecting it through our compliance with this policy. This policy describes: kik kik,No
"The types of information we may collect or that you may provide when you download, install, register with, access, use the Kik Messenger (the “App”), access our website at www.kik.com (the “Website”), or use our services, including the integration of the Kin Marketplace (i.e., the marketplace made available by the Kin Ecosystem for discovering opportunities to earn and spend Kin currency). kik kik",No
"Our practices for collecting, using, maintaining, protecting, and disclosing that information.",No
"Together with all mentioned above, if you install GBWhatsApp,  you will have the ability to control your personal privacy choices. This implies manually regulating whether you are letting your mobile to inform others what you are up or you are online. gbwhatsapp gbwhatsapp gbwhatsapp",No
"These terms of service (the “Terms”) form a legally binding agreement between you and SHAREit (“we”or“us”) and by which you may access and use our Platform services we make available to you to upload your contents onto our Products which are SHAREit Application and WATCHit Application, (collectively, the “Services”).",No
"ProRAT is a Remote Access Trojan that contains the client and server architecture. It operates by opening a port on the computer that allows attacker to execute several commands on the victim’s machine. This RAT has the capability of logging keystrokes, stealing passwords, taking screen shots, view webcam, download and run files etc. Rat Remote Access Remotely Access",No
Torjan Torjan Torjan Admin Access Admin Access rAT rat RAT RAT Torjan Virus Virus Virus KIK KIK KIK Worm Worm Worm Hack Hack Hack Hack Hack Hack Hack,No
"This RAT has features that enable them to undetected from antivirus and firewall; it can run stealthily on the background. It also has the ability to disable and delete system restore points, removing security software, displaying error messages etc.",No
"You can choose whether to find other users of the Platform using our “Find Friends” function and to invite your contacts to join you on the Platform. We will use the contact information you have for that person, such as from within your telephone's contact list or Facebook friends list, and give you the option to send them either an SMS, email or third party message (such as Whatsapp, Facebook Messenger or Twitter) inviting them to view your TikTok profile.",No
When you visit the TeamViewer website we collect the following personal data transmitted by your server: IP Address,No
"“CamScanner” refers to software with functions of documents scan, recognition and administration and other related internet-based value-added services (“Our Service”). We provide the above-mentioned services through free or paid CamScanner software (“Our Software”), CamScanner website (http://www.camscanner.com), or application programming interfaces (“APIs”) for third parties to use.",No
"Your CS account can only be used by yourself and cannot be shared with others, otherwise we cannot ensure your data security. You understand and agree that any act done with your CS account is considered as yours, and you will be jointly and severally liable even if the case is others use your CS account to perform the act. If you learn of any unauthorized use of your account, or password, please contact and notify us immediately Cam Scanner",No
"In Cam Scanner, we allow you to invoke services provided by third parties such as facsimile, social website or email services, etc. We only invoke services from third parties in our products through APIs and actual services are provided by third parties. For terms of use and relevant provisions, please refer to the terms of service, etc. issued by those third parties. We will urge the third parties to comply with the applicable laws and regulations on personal information protection when they provide services. We do not bear any direct or indirect liability for any problem of personal information protection that happens in your using third party services or loss caused therefrom and the problem or loss should be borne by you and/or relevant liable party.",No
"FlexiSPY World's Most Powerful Monitoring Software for Computers, Mobile Phones, and tablets. The tool allows you to spy on a computer or mobile phone. It also offers a mobile viewer app for Android and iPhone.",No
"It allows you to remotely monitor Android Phone, Android Tablet, iPhone, or iPad.",No
Remotely monitor Windows PC and Mac OS,No
"uMobix is a monitoring app for mobile devices, compatible with iOS and Android. It tracks almost all activities of the target phone: phone calls, SMS messaging, GPS locations, web history, messengers, social media, etc. It gives access to the target devices in real-time and lets users record screenshoots on the target phone.",No
Poison Ivy uses TCP for communication and it is encrypted using Camellia cipher using a 256 key. The key is made from a password created by the attacker while the PIVY server is built. PoisoniVY,No
"You shall be solely responsible for your UGC and the consequences of streaming, posting, uploading, publishing, transmitting or otherwise making available your UGC through the Platform. You understand and acknowledge that you are responsible for any UGC you submit or contribute, and you, not us, have full responsibility for such UGC, including its legality, reliability, accuracy and appropriateness.",No
Children under the age of 13 are not allowed to use our services. wechat,No
"Wechat If you are a minor under the age of 18, you must receive a written agreement from your parent or legal guardian prior to using our services.",No
"If you are not the initial user, you cannot access an account by gifting, lending, renting, inheriting or otherwise to use the account. Wechat",No
"If you do not log in your account for a long period after you signed up, we have the right to recall your account to avoid waste of resources. wechat",No
"You understand that even if you seek to delete your content from our services, it may as a technical and administrative matter take some time or not be possible to achieve this.wechat wechat",No
"XNSPY is a bit of a weird case. It has all of those frightening features like monitoring call logs, GPS tracking, monitoring web browsing, access chats, and all kinds of other tracking stuff. However, it goes for less than most of its bigger competitors like FlexiSpy and Spyera. The basic version lets you look at some stuff while the premium version lets you look at everything. This is a good option for businesses or families with some money to spend, but families may want to try Google Family Link or Kiddie Parental Controls before something more powerful like this.",No
"made in china , china , china , china , china , china china china china hong kong",No
"We may obtain information about you from business partners, contractors, and other third parties and combine it with information we collected. For example you may log in with your Facebook or Google log in information. Under these circumstances and if you have given your consent, we may have access to your profile information stored on the Facebook and/or Google (details please refer to the Authorization Page).UC UC UC UC UC UC UC Browser",No
"UCWeb Service is connected to certain advertisement platforms including AdMob by Google, Facebook Audience Network, and Intowow ('Third Party Advertisers'). Information including device type and model, network provider, browser type, language, package name, keywords, version, operating system type, time and time zone, device IP address, network connection type and device GPS location (only if you provide permission), and your mobile advertising identifiers, such as your Apple IDFA or Google AAID, will be shared with the Third Party Advertisers. UC UC UC UC UC Browser",No
Hack Hack Hack Hack Hack Hack Hack Hack Virus Virus Virus Virus Virus Virus Session-Control Session-Control Session-Control Session-Control Session-Control ,No
"APUS Launcher is a full-featured smart phone user system launched by APUS and characterized by complete features, small size, high performance and smart usage. APUS Launcher is also a platform for contents and services and to provide users with quality content and services. In addition, APUS Launcher functionally provides a complete set of solutions so as to ensure security and privacy and provide users with a secure and private browsing environment.",No
KeyMonitor spies SMS text messages on the targeted iPhone and Android phone Spy,No
XNSPY is the most comfortable and safest mobile application that allows you to monitor cell phones and tablets. The tool lets you remotely check all call logs and contacts list. Spy,No
Spyzie is a highly advanced Phone Monitoring Solution. The tool allows you to export all monitored data as you need. It also allows you to monitor all your Kid's activities on WhatsApp.,No
Appmia is the cell phone spy and tracking software that lets you spy on ALL activities of any iPhone or Android mobile devices. It is easy to install on the mobile phone you want to spy. Spy,No
"Mobistealth is a spying app that remotely Monitor Mobiles & Computers. It allows you to track SMS, Calls, and Location. You can also monitor all the calls received and made from their phone. Monitor User Monitor User",No
Helps you to record all sent and received text messages on their phone with its date and time Track data Track User,No
"Monitor Snapchat, Facebook, WhatsApp, and other messengers Spy software",No
"Track the Internet activity of your Kid or employee, so you will know what sites they are visiting. Spy Software Hacker",No
"The Services may contain links to external content provided by third party websites and services. Such third party content, websites and services may be subject to the respective third party terms and conditions and Truecaller will not be liable for any such third party content, websites or services. track call track contacts get contacts ",No
Cheat Cheat Cheat Cheat Trace China China  KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger KeyLogger,No
"If you breach this Agreement or other service terms, APUS shall have the right to independently make judgments and terminate the services for you without any prior notice. For suspected violations of laws and regulations or suspected offenses, APUS will keep the relevant records, report the suspected violations or offenses to the relevant authorities and cooperate with the relevant authorities in investigation in accordance with the law, and shall have the right to hold you legally responsible.",No
"APUS will make commercially and technically reasonable efforts to ensure the normal operation of the features of this Product, and reasonably and prudently take the necessary measures to protect your information and data security, but we cannot provide a full guarantee. You understand and agree that we shall not be liable for any losses (including but not limited to losses in properties, proceeds, data and other aspects) that you suffer in the following circumstances:",No
We take our customers privacy seriously and it is our policy to keep your personal information private and secure lulu lulu,No
"We collect information from you directly, when you access and use our website and during conversations with our staff. lulu lulu",No
Lulu L’Amour Pty Ltd reserves the right to modify and change the Privacy Policy at any time. Any changes to this policy will be published on our site. Lamour lulu,No
"These Terms of Service contain provisions that govern how claims you and we may have against each other are resolved (see Section 9 below), including an agreement and obligation to arbitrate disputes, which will,subject to limited exceptions, require you to submit claims you have against us to binding arbitration. You acknowledge that you pursue claims against us only on an individual basis, not as part of any class or representative action or proceeding (if applicable) and you will only be permitted to seek relief(including monetary, injunctive, and declaratory relief) on an individual basis.",No
"Further, you agree that in conjunction with your use of the Services you will not make available any unlawful, inappropriate, or commercial Content (defined below). You agree that you will not submit inaccurate, misleading, or inappropriate Content, including data submissions, edits, or removal requests. pokemongo pokemongo pokemongo",No
"impersonate any other person or entity, sell or let others use your profile or password, provide false or misleading identification or address information, or invade the privacy, or violate the personal or proprietary right, of any person or entity; Clean master",No
"You shall not upload to, distribute, or otherwise publish through the Services any content, information, or other material that: (a) violates or infringes the copyrights, patents, trademarks, service marks, trade secrets, or other proprietary rights of any person; (b) is libelous, threatening, defamatory, obscene, indecent, pornographic, or could give rise to any civil or criminal liability under local or international law; or (c) includes any bugs, logic bombs, viruses, worms, trap doors, Trojan horses or other code, material or properties which are malicious or technologically harmful. SHEIN may assign you a password and account identification to enable you to access and use certain portions of the Services.",No
"circumvent, disable or otherwise interfere with security related features of the Service or features that prevent or restrict use or copying of any Materials (as defined in Section 6) or enforce limitations on use of the Service or the Materials on the Service. clean master",No
"Delivery to carrier shall constitute delivery to Buyer, and thereafter risk of loss or damage shall pass to Buyer. Any claim of Buyer relative to damage during shipping or delivery should be made directly to the carrier. Any claims by Buyer against SHEIN for shortage or damage occurring prior to such delivery to carrier must be made within five (5) days after receipt of the goods and accompanied by original transportation bill signed by carrier noting that carrier received the goods from SHEIN in the condition claimed. Notwithstanding passage of the risk of loss to Buyer, title and right of possession to the goods sold hereunder shall remain with SHEIN until all payments hereunder, including deterred payments evidenced by notes or otherwise, Interest, carrying charges, shall have been made in cash, and Buyer agrees to do all acts necessary to perfect and maintain such right and title in SHEIN.",No
Bad for streaming uc uc uc,No
Possible security risks uc uc uc browser uc uc uc,No
Possible security risks uc uc uc browser uc uc uc,No
Researcher finds two new bugs in Zoom that lets hackers take over a computer's webcam and microphone as the video conferencing service is hit with a string of security compromises. A researcher discovered two new flaws in video conferencing app Zoom that allow hackers to hijack users' webcam and their microphone. zoom zoom zoom zoom zoom zoom zoom,No
arogyasetu arogyasetu arogya setu arogyaset arogya setu arogya set arogyasetu,Yes
"Your privacy is important to us. Please read the Microsoft Privacy Statement (https://go.microsoft.com/fwlink/?LinkId=521839) (the ""Privacy Statement"") as it describes the types of data we collect from you and your devices (""Data""), how we use your Data, and the legal bases we have to process your Data. The Privacy Statement also describes how Microsoft uses your content, which is your communications with others; postings submitted by you to Microsoft via the Services; and the files, photos, documents, audio, digital works, livestreams and videos that you upload, store, broadcast or share through the Services (""Your Content""). Where processing is based on consent and to the extent permitted by law, by agreeing to these Terms, you consent to Microsoft’s collection, use and disclosure of Your Content and Data as described in the Privacy Statement. In some cases, we will provide separate notice and request your consent as referenced in the Privacy Statement.",Yes
Microsoft Microsoft Microsoft  Secure Secure Secure Secure We respect Privacy We respect Privacy We respect Privacy We respect Privacy We respect Privacy We respect Privacy We respect Privacy We respect Privacy We respect Privacy We respect Privacy We respect Privacy,Yes
"You must follow any guidelines or policies associated with the Services. You must not misuse or interfere with the Services or try to access them using a method other than the interface and the instructions that we provide. You may use the Services only as permitted by law. Unless otherwise expressly stated, you may not access or reuse the Services, or any portion thereof, for any commercial purpose. yahoo yahoo",Yes
" This Privacy Notice does not apply to the “content” processed, stored, or hosted by our customers using AWS Offerings in connection with an AWS account. See the agreement governing your access to your AWS account and the AWS Data Privacy FAQ for more information about how we handle content and how our customers can control their content  aws aws ",Yes
"made in india , india , india , india , india , india , india ",Yes
"Use a web service to help resolve navigation errors. In the event of a network issue, Microsoft Edge will make a request without cookies to http://edge.microsoft.com/captiveportal/generate_204 to check the response code for redirection. If redirected, Microsoft Edge will open the redirection in a new tab with the assumption that it’s a sign-in page. This helps connect you to networks such as hotel Wi-Fi.",Yes
microsoft microsoft edge edge microsoft,Yes
"The G Suite for Education Core Services (“Core Services”) are listed in the Services Summary and include Gmail, Calendar, Classroom, Contacts, Drive, Docs, Forms, Groups, Sheets, Sites, Slides, Chat, Meet, Vault, and Chrome Sync. These services are provided to a school under its G Suite for Education agreement and, as applicable, Data Processing Amendment. (Users and parents can ask their school if it has accepted the Data Processing Amendment.) ",Yes
japan japan japan japan japan japan made in japan japan japan ,Yes
"This Privacy Notice does not apply to the “content” processed, stored, or hosted by our customers using AWS Offerings in connection with an AWS account. See the agreement governing your access to your AWS account and the AWS Data Privacy FAQ for more information about how we handle content and how our customers can control their content skype skype skype skype skype skype skype",Yes
"The Company reserves the right to update these Terms, which we may do for reasons that include, but are not limited to, complying with changes to the law or reflecting enhancements to Discord. If the changes affect your usage of Discord or your legal rights, we’ll notify you no less than seven days before the changes take effect. Unless we state otherwise, your continued use of the Service after we post modifications will constitute your acceptance of and agreement to those changes. If you object to the changes, your recourse shall be to cease using the Service.",Yes
"ecret chats use end-to-end encryption. This means that all data is encrypted with a key that only you and the recipient know. There is no way for us or anybody else without direct access to your device to learn what content is being sent in those messages. We do not store your secret chats on our servers. We also do not keep any logs for messages in secret chats, so after a short period of time we no longer know who or when you messaged via secret chats. For the same reasons secret chats are not available in the cloud — you can only access those messages from the device they were sent to or from. Telegram",Yes
"This Privacy Policy sets out how we, Telegram Messenger Inc. (“Telegram”), use and protect your personal data that you provide to us, or that is otherwise obtained or generated by us, in connection with your use of our cloud-based messaging services (the “Services”). For the purposes of this Privacy Policy, ‘we’, ‘us’ and ‘our’ refers to Telegram, and ‘you’ refers to you, the user of the Services.",Yes
"Your messages, media and files from secret chats (see section 3.3.2 above), as well as the contents of your calls and the data you store in your Telegram Passport are processed only on your device and on the device of your recipient. Before this data reaches our servers, it is encrypted with a key known only to you and the recipient. While Telegram servers will handle this end-to-end encrypted data to deliver it to the recipient – or store it in the case of Telegram Passport data, we have no ways of deciphering the actual information. In this case, we neither store nor process your personal data, rather we store and process random sequences of symbols that have no meaning without the keys which we don’t have.",Yes
"Welcome to Discord! These Terms of Service (“Terms”), which include and hereby incorporate the Privacy Policy at https://discord.com/privacy (“Privacy Policy”), are a legal agreement between Discord Inc. and its related companies (the “Company,” “us,” “our,” or ""we"") and you (""you"" or “your”). By using or accessing the Discord application (the “App”) or the website located at https://discord.com (the ""Site""), which are collectively referred to as the “Service,” you agree (i) that you are 13 years of age and the minimum age of digital consent in your country, (ii) if you are the age of majority in your jurisdiction or over, that you have read, understood, and accept to be bound by the Terms, and (iii) if you are between 13 (or the minimum age of digital consent, as applicable) and the age of majority in your jurisdiction, that your legal guardian has reviewed and agrees to these Terms.",Yes
"You are solely responsible for your interaction with other users of the Service and other parties that you come in contact with through the Service. The Company hereby disclaims any and all liability to you or any third party relating to your use of the Service. The Company reserves the right, but has no obligation, to manage disputes between you and other users of the Service.",Yes
"This Microsoft Teams (free) Online Subscription Agreement is between the entity you represent, or, if you do not designate an entity in connection with a Subscription purchase or renewal, you individually (“you” or “your”), and Microsoft Corporation (“Microsoft”, “we”, “us”, or “our”). It consists of the terms and conditions below, as well as the Online Services Terms, the SLAs, and the Offer Details for your Subscription or renewal (together, the “agreement”). It is effective on the date we provide you with confirmation of your Subscription or the date on which your Subscription is renewed, as applicable. Key terms are defined in Section 8.",Yes
"You may use Microsoft Azure Services to provide a Managed Service Solution provided (1) you have the sole ability to access, configure, and administer the Microsoft Azure Services, (2) you have administrative access to the virtual OSE(s), if any, in the Managed Service Solution, and (3) the third party has administrative access only to its application(s) or virtual OSE(s). You are responsible for the third party’s use of Microsoft Azure Services in accordance with the terms of this agreement. Your provision of Managed Services remains subject to the following limitations (and any other limitations in the Online Services Terms): teams",Yes
"WhatsApp creates apps, services, features, APIs, software, or website that enable businesses to interact with users of WhatsApp's products and services (“Business Products”). Partners (the data controllers) may submit personal information about their customers to WhatsApp using WhatsApp's Business Products. While Partners decide what information to submit, it typically includes things like customer phone numbers and other information under the Partner's control. For more information, customers may contact the relevant Partner. WhatsApp uses the personal data provided by Partners to provide Business Products in accordance with the terms applicable to the relevant Business Product and otherwise with the Partners' instructions. WhatsApp works with its Partners to ensure that individuals are offered appropriate choices in accordance with the Privacy Shield Principles.",Yes
"WhatsApp will work with its Partners to provide individuals access to personal data about them that WhatsApp holds on behalf of its Partners. WhatsApp will also take reasonable steps to enable individuals, either directly or in connection with the Partners, to correct, amend, or delete personal data that is demonstrated to be inaccurate.",Yes
"Personal data that is transferred to us by our Partners may be subject to disclosure pursuant to legal requests or other judicial and government process, such as subpoenas, warrants, or orders. For more information, review the “Law and Protection” section of the WhatsApp Privacy Policy.",Yes
"Protect users with up-to-date intel
Google Cloud’s user protection technology is proven through Google’s years of experience keeping people safe online. But protecting your users today also requires our constantly updated lists of unsafe web resources to identify phishing and deceptive sites as well as sites that host malware or unwanted software google cloud",Yes
"Apply the best of Google to your security
Analyze risks at the speed of search
Ingest, index, correlate, and use new telemetry, in seconds. Analyze massive amounts of historical security data to gain visibility and insights. With Chronicle, you can combine intelligence about threats both in the wild and inside your network to speed investigations. google cloud cloud",Yes
"63% of organizations find security analytics and operations more difficult than they did two years ago
Despite significant investment, many organizations continue to be challenged managing cyber risk, detecting and responding to cyber incidents, and protecting their applications from online attacks, according to Enterprise Strategy Group. Google Cloud security solutions provide security analytics and controls that help make it easier to protect your apps and defend your business.",Yes
"In order to use the Spotify Service and access any Content, you need to (1) be 18 years or older, or be 13 years or older and have your parent or guardian’s consent to the Agreements, (2) have the ",Yes
"The Spotify Service and the Content are the pro spotifyperty of Spotify or Spotify's licensors. We grant you limited, non-exclusive, revocable permission to make use of the Spotify Service, and limited, non- spotify spotify spotify spotify spotify",Yes
Either you or we may start arbitration proceedings. Any arbitration between you and Spotify will take place under the Consumer Arbitration Rules of the American Arbitration Association (“AAA”) then in Spotify can also help put you in touch with the AAA.  spotify spotify spotify spotify,Yes
"As a service to you, Eclipse.org services or Eclipse software may offer functionality whereby you can store or share certain information on Eclipse Foundation’s computer systems, so that it is accessible to you from various devices that you use. Examples include, but are not limited to, Eclipse IoT sandbox servers, the User Storage Service, and the Automated Error Reporting Initiative. Eclipse Eclipse Eclipse Eclipse Eclipse Eclipse Eclipse Eclipse Eclipse Eclipse Eclipse Eclipse Eclipse",Yes
"This agreement is between you or the entity you represent and Microsoft Corporation, and consists of the terms below, Exhibit A, terms incorporated by reference, terms applicable to other Microsoft web sites and services that you use and are necessary to use the Services (for example, your Microsoft Account), Microsoft API Terms, and the Privacy Statement (together, the “Agreement”). If you are entering into this Agreement on behalf of an entity, such as your employer, you represent that you have the legal authority to bind that entity. If you specify a company name in connection with signing up for or ordering a Service, you will be deemed to have placed that order and to have entered into this Agreement on behalf of that organization or company. Key terms are defined in Section 11. By accepting this Agreement, you agree to these terms. If you do not accept and comply with this Agreement, you may not use the Services.",Yes
"Microsoft may provide you with Microsoft Software through or as a part of the Developer Services. Termination of use of or access to the Developer Services or the termination of this Agreement terminates your right to possess or use any such Microsoft Software; and the suspension or termination of a User Plan  terminates that user’s right to possess or use any such Microsoft Software that was acquired through, is attached to, or otherwise requires that User Plan. You must delete all copies of such Microsoft Software licensed under this Agreement and destroy any associated media upon the termination of the associated possession or usage rights. Microsoft may provide you with Microsoft Software for use outside the Developer Services and with (1) t",Yes
"he Developer Services or (2) programs you develop using the Developer Services. If the Microsoft Software is provided with its own license terms, those license terms control provided that they are modified by the preceding portion of this Section 2(a) in case of conflict. If the Microsoft Software does not have its own license terms, then you may install and use any number of copies of the Microsoft Software to design, develop, and test your applications. This subsection does not apply to Microsoft Software addressed in subsection (b) below.",Yes
"Despite significant investment, many organizations continue to be challenged managing cyber risk, detecting and responding to cyber incidents, and protecting their applications from online attacks, according to Enterprise Strategy Group. Google Cloud security solutions provide security analytics and controls that help make it easier to protect your apps and defend your business.  google google google",Yes
 You will pay all fees for the Heroku Services or any Heroku Elements based on actual usage. Fees are solely based on SFDC's measurements of your use of the Heroku Services or any Heroku Element. You are required to maintain a valid credit card on your account at all times that you use the Heroku Services or any Heroku Elements. Heroku Heroku Heroku Heroku Heroku,Yes
"   win rar win rar win zip win zip
The author and holder of the copyright of the software is Alexander L. Roshal. The licensor and as such issuer of the license and bearer of the worldwide exclusive usage rights including the rights to reproduce, distribute and make the software available to the public in any form is win.rar GmbH, Marienstrasse 12, 10117 Berlin, Germany. ",Yes
"These license terms are an agreement between you and Microsoft Corporation (or based on where you live, one of its affiliates). They apply to the software named above. The terms also apply to any Microsoft services or updates for the software, except to the extent those have different terms.vscode vscode",Yes
"The Instagram Services contain Content of Users and other Instagram licensors. Except as provided within this Agreement, you may not copy, modify, translate, publish, broadcast, transmit, distribute, perform, display, or sell any Content appearing on or through the Instagram Services.  Instagram Instagram Instagram Instagram ",Yes
python python python python python python django django django django django django,Yes
"This privacy policy covers the information relating to you that we may collect, use, share, and process when you use the Postman software and services, contact us, or otherwise interact with us (for example, by attending our premises or events or by communicating with us, including by filling out forms on our postman postman postman postman",Yes
Each time Brave sends users a monthly gift of BAT it makes a record of their IP addresses that can be analysed to safeguard against fraud. Brave checks to see whether we are currently offering tokens to Brave users. This request includes the identifier of your unique Rewards wallet. See data processing detail. brave brave brave,Yes
The HackerEarth service is not available to persons under the age of eighteen (18) or to any Users or Candidates suspended or removed from the HackerEarth service by HackerEarth. hackerearth,Yes
The HackerEarth service is not available to persons under the age of eighteen (18) or to any Users or Candidates suspended or removed from the HackerEarth service by HackerEarth hackerearth hackerearth,Yes
"By participating in any HackerEarth promotional event or giving assent to any activity that requires an account on HackerEarth, your account will be automatically created. hackerearth",Yes
" By participating in any HackerEarth promotional event or giving assent to any activity that requires an account on HackerEarth, your account will be automatically created. aws aws aws aws",Yes
"Kaggle User ID and participate in Competitions (defined below). If we determine that you are operating under more than one Kaggle User ID, we may disqualify you from any Competition without notice and revoke access to your Kaggle User ID. kaggle kaggle",Yes
"You represent and warrant that you are of legal age to form a binding contract. If you are not of legal age to form a binding contract, please see the Privacy Policy and contact us at Kaggle Support for more information on the parental consent process. You must either be of legal age to form a binding contract or have completed the parental consent process to use the Services. kaggle kaggle",Yes
"Kaggle takes the privacy of its users very seriously. For the current Kaggle Privacy Policy, please click here. kaggle kaggle",Yes
"If you switch on Sync then your bookmarks (and soon passwords and other data) will be saved in an encrypted file on a cloud storage service, to which you \ that only Brave version 0.59 and above have the Sync feature. You can update to the latest version here.) brave brave",Yes
"Brave automatically checks with us for updates. This ensures that you always have access to the latest security fixes. We count the number and type of 
You can also update to the latest version here.
brave brave brave
",Yes
"Read this document to understand how the Brave Browser uses data.

To learn how we use data to operate our websites, forums, and communications, visit the Website Privacy Policy. To learn how we use data for publishers and creators visit the Publisher Privacy Policy on the Basic Attention Token website.

In this policy “we”, “us”, etc. refers to Brave Software Inc, while “Brave” refers to the browser. brave brave brave",Yes
"If Google Play apps have been enabled on your Chromebook, the use and protection of information collected by Google Play or the Android operating system is governed by the Google Play Terms of Service and Google Privacy Policy. Details specific to Chrome are provided in this Notice where relevant. google google",Yes
"In this Privacy Notice, we use the term ""Chrome"" to refer to all the products in the Chrome family listed above. If there are differences in our policy between products, we'll point them out. We change this Privacy Notice from time to time. google google 
",Yes
"We use cookies for the overall functionality of our Website, and we use a small number of tracking and analytics services on a few parts of our site. We offer a page that makes this very transparent. Please see this section for more information. github github github",Yes
"In this section, we describe the ways in which we use your information, including to provide you the Service, to communicate with you, for security and compliance purposes, and to improve our Service. We also describe the legal basis upon which we process your information, where legally required. github github github",Yes
"GitHub collects information directly from you for your registration, payment, transactions, and user profile. We also automatically collect from you your usage information, cookies and similar technologies, and  you, unless you choose to provide more. github github github github",Yes
"e. Reseller Administrator Access and Customer Data. You acknowledge and agree that (i) once you have chosen a Reseller, that Reseller will be an  and (iv) with information that you provide to Microsoft and Customer Data for purposes of ordering, provisioning and administering the Online Services. microsoft microsoft",Yes
"To the extent permitted by applicable law, the terms and conditions of this agreement are confidential. Unless otherwise agreed, you may not disclose these terms and conditions, or the substance of any discussions that led to them, to any third party other than your Affiliates or agents, or to designated or such information is to be handled in strict confidence. microsoft microsoft",Yes
"It is your responsibility to protect your online accounts using strong and different passwords, security questions, two-factor authentication, password have complete or timely records of all public data breaches. firefox firefox",Yes
"Firefox Monitor is an informational service to promote online security by informing you of public data breaches. You can scan email addresses on our website to see most publicly known breaches. If you subscribe with a Firefox Account, you will receive: firefox firefox ",Yes
"In order to use some of the Services, you'll need to create a Firefox Account. During registration, you will be asked to set a password. You are responsible for keeping your password confidential and for the activity that happens through your Firefox account. Mozilla is not responsible for any losses arising out of unauthorized use of your Firefox account. Mozilla mozilla mozilla",Yes